,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1,What's up everyone! I'm really sorry I haven't been uploading video's lately been sick for the past week or so got the DAMN FLU!,FALSE,0,NA,2/14/2018 3:04,FALSE,NA,9.6361E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",WyteShepherd,0,FALSE,FALSE,NA,NA
2,Teacher Dies From Flu Because Medicine Was Too Expensive https://t.co/8V1RLPZKaZ via @YouTube,FALSE,0,NA,2/14/2018 3:04,FALSE,NA,9.6361E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",lisalck,0,FALSE,FALSE,NA,NA
3,RT @latercera: Brote de influenza en EE.UU. amenaza con ser el mayor desde 2009 https://t.co/HFLSjaoAVt https://t.co/Q9B6AqONWV,FALSE,0,NA,2/14/2018 3:04,FALSE,NA,9.6361E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",paubrarz,17,TRUE,FALSE,NA,NA
4,RT @Salud_CZ8: En playa Varadero se vacuna a grupo prioritario contra la influenza #Vacúnate #FeriadoSeguro  #Distrito09D10 https://t.co/DU…,FALSE,0,NA,2/14/2018 3:04,FALSE,NA,9.6361E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",GongoraChong,3,TRUE,FALSE,NA,NA
5,"RT @WinTheDay_RRFB: Battling through a lot of flu, strep, &amp; just overall gook right now. Proud of how we're working right now! Break weathe…",FALSE,0,NA,2/14/2018 3:04,FALSE,NA,9.6361E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RAM_BASEBALL,3,TRUE,FALSE,NA,NA
6,"RT @GW_IBelieve: Going to miss these guys (missing Fabian out with the flu) they have poured themselves into this program, been through ups…",FALSE,0,NA,2/14/2018 3:04,FALSE,NA,9.6361E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",GodleyHigh,1,TRUE,FALSE,NA,NA
7,"RT @MackayIM: ""Even with influenza vaccine effectiveness in the range of 30% to 60%, #influenza vaccination prevents millions of infections…",FALSE,0,NA,2/14/2018 3:04,FALSE,NA,9.6361E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",lucutolo,18,TRUE,FALSE,NA,NA
8,idk if this means I have a problem but I would rather take shots of tequila than flu medicine,FALSE,0,NA,2/14/2018 3:04,FALSE,NA,9.6361E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",rachael_cormier,0,FALSE,FALSE,NA,NA
9,RT @kxyonn: If jobs would pay people to stay home when they’re sick and schools get rid of their ridiculously strict attendance policies...…,FALSE,0,NA,2/14/2018 3:04,FALSE,NA,9.6361E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",tatyxo0,76237,TRUE,FALSE,NA,NA
10,"RT @nasmaraj: y’all remember when america was scared of ebola and only 2 americans died from it? well the flu is currently killing 4,000 am…",FALSE,0,NA,2/14/2018 3:04,FALSE,NA,9.6361E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",sevanahdelrey,40583,TRUE,FALSE,NA,NA
11,"Like Jordan with the flu, Shaun White is always coming thru",FALSE,0,NA,2/14/2018 3:04,FALSE,NA,9.6361E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",riNICKulas,0,FALSE,FALSE,NA,NA
12,RT @Salud_CZ8: #Distrito09D09 inmuniza a grupos prioritarios contra la Influenza en punto fijo de vacunación #BalnearioPuertoHondo #Vacúnat…,FALSE,0,NA,2/14/2018 3:04,FALSE,NA,9.6361E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",GongoraChong,10,TRUE,FALSE,NA,NA
13,@FionaJohn_ Just disgusting and the flu is in the air,FALSE,0,FionaJohn_,2/14/2018 3:04,FALSE,9.63606E+17,9.6361E+17,338217581,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",sarahstanacc,0,FALSE,FALSE,NA,NA
14,"RT @OH_mes: Momoland Yeonwoo hospitalized after contracting Type B Influenza, schedules cancelled and focusing on recovery

Jane is also in…",FALSE,0,NA,2/14/2018 3:04,FALSE,NA,9.6361E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",piezabel91,570,TRUE,FALSE,NA,NA
15,@_xMandiee You hear about these chillren dem dying from the flu!? She has the right idea!,FALSE,0,_xMandiee,2/14/2018 3:04,FALSE,9.63516E+17,9.6361E+17,98538448,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Cincoooo,0,FALSE,FALSE,NA,NA
16,influenza’d https://t.co/cJlCLeHD2z https://t.co/zTLslWyGnQ,FALSE,0,NA,2/14/2018 3:04,FALSE,NA,9.6361E+17,NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",Handinthegarden,0,FALSE,FALSE,NA,NA
17,"RT @Psolemn: <U+0E21><U+0E32><U+0E14><U+0E39><U+0E04><U+0E33><U+0E28><U+0E31><U+0E1E><U+0E17><U+0E4C> ‘disease’ <U+0E15><U+0E48><U+0E32><U+0E07><U+0E46><U+0E01><U+0E31><U+0E19><U+0E04><U+0E23><U+0E31><U+0E1A>

symptom <U+0E2D><U+0E32><U+0E01><U+0E32><U+0E23>
diabetes <U+0E40><U+0E1A><U+0E32><U+0E2B><U+0E27><U+0E32><U+0E19>
dengue fever <U+0E44><U+0E02><U+0E49><U+0E40><U+0E25><U+0E37><U+0E2D><U+0E14><U+0E2D><U+0E2D><U+0E01>
heart attack/strokes <U+0E42><U+0E23><U+0E04><U+0E2B><U+0E31><U+0E27><U+0E43><U+0E08>
emph…",FALSE,0,NA,2/14/2018 3:04,FALSE,NA,9.6361E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Faxtavat,792,TRUE,FALSE,NA,NA
18,"Thank God I got over my flu , cause it’s too many ppl dying from it <ed><U+00A0><U+00BD><ed><U+00B8><U+00A2>",FALSE,0,NA,2/14/2018 3:04,FALSE,NA,9.6361E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TerericaMonea,0,FALSE,FALSE,NA,NA
19,RT @kxyonn: If jobs would pay people to stay home when they’re sick and schools get rid of their ridiculously strict attendance policies...…,FALSE,0,NA,2/14/2018 3:04,FALSE,NA,9.6361E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",YoGurl_Lauren,76237,TRUE,FALSE,NA,NA
20,@TheKidQuest I’m sick fool. I got the flu,FALSE,0,TheKidQuest,2/14/2018 3:04,FALSE,9.63298E+17,9.6361E+17,243883936,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Em2O9,0,FALSE,FALSE,NA,NA
21,Helping Mom go to the doctor today. She has the flu. https://t.co/O8a2qnOPUX,FALSE,0,NA,2/14/2018 3:04,FALSE,NA,9.6361E+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",nortonj6934,0,FALSE,FALSE,NA,NA
22,RT @SoReIatable: If jobs would pay people to stay home when they’re sick and schools get rid of their ridiculously strict attendance polici…,FALSE,0,NA,2/14/2018 3:04,FALSE,NA,9.6361E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",officialkionnah,218,TRUE,FALSE,NA,NA
23,"RT @USATODAY: Heather Holland, a Texas teacher, has died from flu complications after deciding not to take flu medication because of the co…",FALSE,0,NA,2/14/2018 3:04,FALSE,NA,9.6361E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",alyssaalver,116,TRUE,FALSE,NA,NA
24,Why are people outside high-risk groups dying from the flu? https://t.co/gLyGkjoq7f,FALSE,0,NA,2/14/2018 3:04,FALSE,NA,9.6361E+17,NA,"<a href=""http://www.kingjim.co.jp/"" rel=""nofollow"">tsodyfurryb8a</a>",tsodyfurryb8a,0,FALSE,FALSE,NA,NA
25,RT @kxyonn: If jobs would pay people to stay home when they’re sick and schools get rid of their ridiculously strict attendance policies...…,FALSE,0,NA,2/14/2018 3:04,FALSE,NA,9.6361E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",BeICONicDoe_,76237,TRUE,FALSE,NA,NA
26,RT @kxyonn: If jobs would pay people to stay home when they’re sick and schools get rid of their ridiculously strict attendance policies...…,FALSE,0,NA,2/14/2018 3:03,FALSE,NA,9.6361E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ben_godson99,76237,TRUE,FALSE,NA,NA
27,RT @SoReIatable: If jobs would pay people to stay home when they’re sick and schools get rid of their ridiculously strict attendance polici…,FALSE,0,NA,2/14/2018 3:03,FALSE,NA,9.6361E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",haas_haven,218,TRUE,FALSE,NA,NA
28,"Special UV light safely kills airborne flu virus, finds study",FALSE,0,NA,2/14/2018 3:03,FALSE,NA,9.6361E+17,NA,"<a href=""http://www.parco.co.jp/"" rel=""nofollow"">wamegisekizoku</a>",wamegisekizoku,0,FALSE,FALSE,NA,NA
29,And flu.,FALSE,0,NA,2/14/2018 3:03,FALSE,NA,9.6361E+17,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",TelonTelon,0,FALSE,FALSE,NA,NA
30,"@rodrigocapelo Quando a imprensa está contra a sua atitude, vc percebe q está no caminho certo. Não serão 100 mil q… https://t.co/BcFqUYPBd5",FALSE,0,rodrigocapelo,2/14/2018 3:03,TRUE,9.63418E+17,9.6361E+17,31493031,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",lefogao1989,0,FALSE,FALSE,NA,NA
31,"Teacher contracts both flu strains, now on life support",FALSE,0,NA,2/14/2018 3:03,FALSE,NA,9.6361E+17,NA,"<a href=""http://www.meigin.com/"" rel=""nofollow"">kengakurodoku</a>",kengakurodoku,0,FALSE,FALSE,NA,NA
32,RT @Salud_CZ8: Punto fijo de vacunación contra influenza es ubicado en Calle Bolivia y José Mascote #Vacúnate #Distrito09D03 https://t.co/w…,FALSE,0,NA,2/14/2018 3:03,FALSE,NA,9.6361E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",GongoraChong,7,TRUE,FALSE,NA,NA
33,RT @SarahDa15849051: My brave boy Dylan Day died 3 weeks ago from Flu b &amp; sepsis. Dylan suffered ..it was horrific I’v lost my son forever.…,FALSE,0,NA,2/14/2018 3:03,FALSE,NA,9.6361E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",BrittneyWagz,1130,TRUE,FALSE,NA,NA
34,"RT @PlumRemson: How many children who died of the flu this year either had a flu shot THIS year, or during the previous year? And why does…",FALSE,0,NA,2/14/2018 3:03,FALSE,NA,9.6361E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NEOrganics,3,TRUE,FALSE,NA,NA
