"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @TerryTorro: CAN YALL COUGH &amp; SNEEZE IN YOUR DAMN ELBOW! THE FLU IS LITERALLY MURKING PEOPLE AND YALL OUT HERE BEING DISRESPECTFUL https…",FALSE,0,NA,2018-02-16 03:07:33,FALSE,NA,"964335412641783808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","roxyduran_",5486,TRUE,FALSE,NA,NA
"2","RT @TerryTorro: CAN YALL COUGH &amp; SNEEZE IN YOUR DAMN ELBOW! THE FLU IS LITERALLY MURKING PEOPLE AND YALL OUT HERE BEING DISRESPECTFUL https…",FALSE,0,NA,2018-02-16 03:07:31,FALSE,NA,"964335404517347328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Saturniplier",5486,TRUE,FALSE,NA,NA
"3","RT @kressiek: Staying off twitter until the people I went to high school with who never left home and believe It Works! works, and that the…",FALSE,0,NA,2018-02-16 03:07:31,FALSE,NA,"964335403691069441",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","laurenhayez",20,TRUE,FALSE,NA,NA
"4","An here comes the flu",FALSE,0,NA,2018-02-16 03:07:31,FALSE,NA,"964335402860597248",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","CaseloadDrellg",0,FALSE,FALSE,NA,NA
"5","RT @TerryTorro: CAN YALL COUGH &amp; SNEEZE IN YOUR DAMN ELBOW! THE FLU IS LITERALLY MURKING PEOPLE AND YALL OUT HERE BEING DISRESPECTFUL https…",FALSE,0,NA,2018-02-16 03:07:31,FALSE,NA,"964335402537635841",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_TatiLynn",5486,TRUE,FALSE,NA,NA
"6","RT @TerryTorro: CAN YALL COUGH &amp; SNEEZE IN YOUR DAMN ELBOW! THE FLU IS LITERALLY MURKING PEOPLE AND YALL OUT HERE BEING DISRESPECTFUL https…",FALSE,0,NA,2018-02-16 03:07:31,FALSE,NA,"964335402164236288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","oneafdirection1",5486,TRUE,FALSE,NA,NA
"7","RT @TerryTorro: CAN YALL COUGH &amp; SNEEZE IN YOUR DAMN ELBOW! THE FLU IS LITERALLY MURKING PEOPLE AND YALL OUT HERE BEING DISRESPECTFUL https…",FALSE,0,NA,2018-02-16 03:07:29,FALSE,NA,"964335397101801473",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","leahmitchelll",5486,TRUE,FALSE,NA,NA
"8","even having the flu doesn't stop my mother from being abusive towards me and calling me ""just as useless as my fath… https://t.co/1C6WWs306N",FALSE,0,NA,2018-02-16 03:07:28,TRUE,NA,"964335392068702209",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","gaychilton",0,FALSE,FALSE,NA,NA
"9","RT @TerryTorro: CAN YALL COUGH &amp; SNEEZE IN YOUR DAMN ELBOW! THE FLU IS LITERALLY MURKING PEOPLE AND YALL OUT HERE BEING DISRESPECTFUL https…",FALSE,0,NA,2018-02-16 03:07:28,FALSE,NA,"964335391015886848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wheres_nairdA",5486,TRUE,FALSE,NA,NA
"10","Get the flu shot. These may be the most germ-ridden places in your office https://t.co/qk3aoCqH8U via @cbsthismorning",FALSE,0,NA,2018-02-16 03:07:27,FALSE,NA,"964335386427379713",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DrIanWeissman",0,FALSE,FALSE,NA,NA
"11","3 more child deaths from flu reported in Minnesota, bringing total to 4 https://t.co/kMg7zII5dR https://t.co/0Yf4g0iqXO",FALSE,0,NA,2018-02-16 03:07:26,FALSE,NA,"964335382111322112",NA,"<a href=""https://www.echobox.com"" rel=""nofollow"">Echobox Social</a>","PioneerPress",0,FALSE,FALSE,NA,NA
"12","RT @TerryTorro: CAN YALL COUGH &amp; SNEEZE IN YOUR DAMN ELBOW! THE FLU IS LITERALLY MURKING PEOPLE AND YALL OUT HERE BEING DISRESPECTFUL https…",FALSE,0,NA,2018-02-16 03:07:25,FALSE,NA,"964335378248413184",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","aria_waters01",5486,TRUE,FALSE,NA,NA
"13","RT @PaulSaxMD: If there were a vitamin or supplement that had 36% effectiveness in preventing influenza (including preventing some hospital…",FALSE,0,NA,2018-02-16 03:07:22,FALSE,NA,"964335365015322626",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","aliciaelr",41,TRUE,FALSE,NA,NA
"14","This week's update on the flu in our area https://t.co/4ypRL9zvXt",FALSE,0,NA,2018-02-16 03:07:21,FALSE,NA,"964335362037268481",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Cornerstone_Ped",0,FALSE,FALSE,NA,NA
"15","RT @TerryTorro: CAN YALL COUGH &amp; SNEEZE IN YOUR DAMN ELBOW! THE FLU IS LITERALLY MURKING PEOPLE AND YALL OUT HERE BEING DISRESPECTFUL https…",FALSE,0,NA,2018-02-16 03:07:20,FALSE,NA,"964335357146943489",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","__runninerins",5486,TRUE,FALSE,NA,NA
"16","RT @TerryTorro: CAN YALL COUGH &amp; SNEEZE IN YOUR DAMN ELBOW! THE FLU IS LITERALLY MURKING PEOPLE AND YALL OUT HERE BEING DISRESPECTFUL https…",FALSE,0,NA,2018-02-16 03:07:19,FALSE,NA,"964335353690755072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_lovemonicaaa",5486,TRUE,FALSE,NA,NA
